timestamp_start,src_ip,src_port,dst_ip,dst_port,protocol,hostname,bytes_out,bytes_in
2025-09-13T21:06:48.629-05:00,10.215.173.1,53924,170.203.222.249,47558,BitTorrent,,132,0
2025-09-13T21:06:48.631-05:00,10.215.173.1,53924,213.91.248.7,18921,BitTorrent,,132,338
2025-09-13T21:06:48.632-05:00,10.215.173.1,53924,89.114.178.236,53687,BitTorrent,,132,338
2025-09-13T21:06:48.634-05:00,10.215.173.1,53924,45.225.118.237,38211,BitTorrent,,132,0
2025-09-13T21:06:48.636-05:00,10.215.173.1,53924,2.81.120.96,40473,BitTorrent,,132,0
2025-09-13T21:06:48.637-05:00,10.215.173.1,53924,212.118.40.19,48923,BitTorrent,,132,338
2025-09-13T21:06:48.639-05:00,10.215.173.1,53924,59.66.206.44,51413,BitTorrent,,132,311
2025-09-17T03:54:31.602-05:00,10.215.173.1,43883,67.215.246.10,6881,BitTorrent,router.bittorrent.com,743,2570
2025-09-17T03:54:31.605-05:00,10.215.173.1,43883,87.98.162.88,6881,BitTorrent,dht.transmissionbt.com,743,1903
2025-09-17T03:54:31.613-05:00,10.215.173.1,43883,212.129.33.59,6881,BitTorrent,dht.transmissionbt.com,743,0
2025-09-17T03:54:31.892-05:00,10.215.173.1,43883,36.151.181.224,6886,BitTorrent,,132,338
2025-09-17T03:54:46.610-05:00,10.215.173.1,43883,70.108.27.76,8999,BitTorrent,,264,676
2025-09-17T03:54:46.852-05:00,10.215.173.1,43883,114.230.238.36,6884,BitTorrent,,132,338
2025-09-17T03:54:46.856-05:00,10.215.173.1,43883,195.154.227.189,8999,BitTorrent,,132,338
2025-09-17T03:54:46.861-05:00,10.215.173.1,43883,94.23.26.32,51413,BitTorrent,,132,311
2025-09-17T03:54:46.878-05:00,10.215.173.1,43883,112.82.166.86,6887,BitTorrent,,132,338
2025-09-17T03:54:46.887-05:00,10.215.173.1,43883,185.92.69.253,51413,BitTorrent,,132,311
2025-09-17T03:54:46.895-05:00,10.215.173.1,43883,85.144.232.97,6881,BitTorrent,,132,338
2025-09-17T03:54:46.909-05:00,10.215.173.1,43883,95.211.168.245,56881,BitTorrent,,132,338
2025-09-17T03:54:46.913-05:00,10.215.173.1,43883,36.151.164.44,6887,BitTorrent,,132,0
2025-09-17T03:54:46.928-05:00,10.215.173.1,43883,116.197.224.64,6881,BitTorrent,,132,338
2025-09-17T03:54:46.932-05:00,10.215.173.1,43883,221.229.52.90,6892,BitTorrent,,132,338
2025-09-17T03:54:46.947-05:00,10.215.173.1,43883,45.136.230.52,8999,BitTorrent,,132,338
2025-09-17T03:54:46.953-05:00,10.215.173.1,43883,82.64.220.118,6881,BitTorrent,,132,338
2025-09-17T03:54:46.955-05:00,10.215.173.1,43883,114.80.9.220,6885,BitTorrent,,132,338
2025-09-17T03:54:46.957-05:00,10.215.173.1,43883,223.109.206.212,6882,BitTorrent,,132,338
2025-09-17T03:54:46.959-05:00,10.215.173.1,43883,31.181.235.120,51413,BitTorrent,,132,311
2025-09-17T03:54:46.964-05:00,10.215.173.1,43883,176.135.186.242,6881,BitTorrent,,132,326
2025-09-17T03:54:46.970-05:00,10.215.173.1,43883,78.181.133.92,26898,BitTorrent,,132,338
2025-09-17T03:54:46.978-05:00,10.215.173.1,43883,77.82.201.194,6881,BitTorrent,,132,338
