IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
6,10.215.173.1,42058,74.125.130.95,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Closed,firebaselogging-pa.googleapis.com,2285,6113,9,8,2025-08-17T20:50:29.657-05:00,2025-08-17T20:50:37.768-05:00,
6,10.215.173.1,47762,74.125.206.157,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Closed,googleads.g.doubleclick.net,3350,9093,15,17,2025-08-17T20:50:29.926-05:00,2025-08-17T20:50:32.886-05:00,
17,10.215.173.1,40795,172.217.16.142,443,10255,Google Play services,com.google.android.gms,QUIC,Closed,android.apis.google.com,0,0,0,0,2025-08-17T20:50:33.287-05:00,2025-08-17T20:50:37.288-05:00,
6,10.215.173.1,60646,172.217.16.142,443,10255,Google Play services,com.google.android.gms,HTTPS,Error,android.apis.google.com,2558,1678,7,6,2025-08-17T20:50:33.292-05:00,2025-08-17T20:50:33.787-05:00,
6,10.215.173.1,60656,172.217.16.142,443,10255,Google Play services,com.google.android.gms,HTTPS,Error,android.apis.google.com,2622,1638,7,5,2025-08-17T20:50:33.548-05:00,2025-08-17T20:50:33.907-05:00,
6,10.215.173.1,46380,74.125.131.188,5228,10255,Google Play services,com.google.android.gms,TLS,Error,mtalk.google.com,826,4120,6,5,2025-08-17T20:50:45.180-05:00,2025-08-17T20:50:45.659-05:00,
17,10.215.173.1,48829,10.215.173.2,53,10354,All Apps,com.inmobi.folderwall,DNS,Closed,events.glanceapis.com,67,178,1,1,2025-08-17T20:50:45.436-05:00,2025-08-17T20:50:45.788-05:00,
17,10.215.173.1,9840,10.215.173.2,53,10465,Firefox,org.mozilla.firefox,DNS,Closed,firefox.settings.services.mozilla.com,83,172,1,1,2025-08-17T20:50:45.489-05:00,2025-08-17T20:50:45.771-05:00,
17,10.215.173.1,17142,10.215.173.2,53,10465,Firefox,org.mozilla.firefox,DNS,Closed,incoming.telemetry.mozilla.org,76,162,1,1,2025-08-17T20:50:45.494-05:00,2025-08-17T20:50:46.297-05:00,
17,10.215.173.1,38587,10.215.173.2,53,10465,Firefox,org.mozilla.firefox,DNS,Closed,content-signature-2.cdn.mozilla.net,81,178,1,1,2025-08-17T20:50:45.604-05:00,2025-08-17T20:50:45.897-05:00,
6,10.215.173.1,52570,34.149.100.209,443,10465,Firefox,org.mozilla.firefox,HTTPS,Closed,firefox.settings.services.mozilla.com,1802,17655,14,17,2025-08-17T20:50:45.776-05:00,2025-08-17T20:50:51.636-05:00,
6,10.215.173.1,44048,20.121.195.212,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Closed,events.glanceapis.com,1159,7067,10,10,2025-08-17T20:50:45.792-05:00,2025-08-17T20:50:46.005-05:00,
6,10.215.173.1,44062,20.121.195.212,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Closed,events.glanceapis.com,4050,8701,20,25,2025-08-17T20:50:45.796-05:00,2025-08-17T20:50:50.278-05:00,
6,10.215.173.1,44072,20.121.195.212,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Error,events.glanceapis.com,1199,6847,11,10,2025-08-17T20:50:45.799-05:00,2025-08-17T20:50:45.963-05:00,
6,10.215.173.1,34896,34.160.144.191,443,10465,Firefox,org.mozilla.firefox,TLS,Closed,content-signature-2.cdn.mozilla.net,866,3827,10,10,2025-08-17T20:50:45.903-05:00,2025-08-17T20:50:51.636-05:00,
6,10.215.173.1,51810,34.120.208.123,443,10465,Firefox,org.mozilla.firefox,TLS,Closed,incoming.telemetry.mozilla.org,2690,5060,16,14,2025-08-17T20:50:46.308-05:00,2025-08-17T20:50:51.636-05:00,
17,10.215.173.1,45278,10.215.173.2,53,10616,Icon Pack Studio,ginlemon.iconpackstudio,DNS,Closed,firebaselogging.googleapis.com,76,263,1,1,2025-08-17T20:50:51.687-05:00,2025-08-17T20:50:51.937-05:00,
6,10.215.173.1,33844,173.194.76.95,443,10616,Icon Pack Studio,ginlemon.iconpackstudio,HTTPS,Closed,firebaselogging.googleapis.com,1924,6468,11,10,2025-08-17T20:50:51.945-05:00,2025-08-17T20:50:56.411-05:00,
17,10.215.173.1,43810,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,beacons.gcp.gvt2.com,66,123,1,1,2025-08-17T20:51:19.641-05:00,2025-08-17T20:51:20.916-05:00,
17,10.215.173.1,22023,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,play-fe.googleapis.com,68,175,1,1,2025-08-17T20:51:19.643-05:00,2025-08-17T20:51:20.609-05:00,
6,10.215.173.1,50212,64.233.166.113,443,10256,Google Play Store,com.android.vending,HTTPS,Error,play-fe.googleapis.com,2588,2050,7,6,2025-08-17T20:51:20.628-05:00,2025-08-17T20:51:20.945-05:00,
6,10.215.173.1,50214,64.233.166.113,443,10256,Google Play Store,com.android.vending,HTTPS,Error,play-fe.googleapis.com,2588,2050,7,6,2025-08-17T20:51:20.644-05:00,2025-08-17T20:51:20.945-05:00,
17,10.215.173.1,49026,74.125.24.94,443,10256,Google Play Store,com.android.vending,QUIC,Closed,beacons.gcp.gvt2.com,0,0,0,0,2025-08-17T20:51:20.925-05:00,2025-08-17T20:51:24.927-05:00,
17,10.215.173.1,33230,74.125.24.94,443,10256,Google Play Store,com.android.vending,QUIC,Closed,beacons.gcp.gvt2.com,0,0,0,0,2025-08-17T20:51:24.943-05:00,2025-08-17T20:51:28.943-05:00,
6,10.215.173.1,35568,74.125.24.94,443,10256,Google Play Store,com.android.vending,HTTPS,Error,beacons.gcp.gvt2.com,2616,1730,7,7,2025-08-17T20:51:24.947-05:00,2025-08-17T20:51:25.691-05:00,
6,10.215.173.1,35570,74.125.24.94,443,10256,Google Play Store,com.android.vending,HTTPS,Error,beacons.gcp.gvt2.com,2520,1690,7,6,2025-08-17T20:51:25.196-05:00,2025-08-17T20:51:25.938-05:00,
6,10.215.173.1,41956,74.125.131.188,5228,10255,Google Play services,com.google.android.gms,TLS,Error,mtalk.google.com,886,4080,7,4,2025-08-17T20:51:57.693-05:00,2025-08-17T20:51:58.955-05:00,
17,10.215.173.1,51739,64.233.170.95,443,10276,YouTube,com.google.android.youtube,QUIC,Closed,firebaselogging-pa.googleapis.com,0,0,0,0,2025-08-17T20:51:59.910-05:00,2025-08-17T20:52:03.911-05:00,
17,10.215.173.1,50409,10.215.173.2,53,10276,YouTube,com.google.android.youtube,DNS,Closed,youtubei.googleapis.com,69,240,1,1,2025-08-17T20:51:59.917-05:00,2025-08-17T20:51:59.919-05:00,
6,10.215.173.1,41168,64.233.170.95,443,10276,YouTube,com.google.android.youtube,HTTPS,Closed,youtubei.googleapis.com,2706,7342,11,11,2025-08-17T20:51:59.927-05:00,2025-08-17T20:52:06.791-05:00,
17,10.215.173.1,40417,172.217.16.150,443,10704,YouTube,app.revanced.android.youtube,QUIC,Closed,i.ytimg.com,0,0,0,0,2025-08-17T20:51:59.961-05:00,2025-08-17T20:52:03.965-05:00,
17,10.215.173.1,42136,64.233.170.95,443,10704,YouTube,app.revanced.android.youtube,QUIC,Closed,youtubei.googleapis.com,0,0,0,0,2025-08-17T20:51:59.966-05:00,2025-08-17T20:52:03.966-05:00,
17,10.215.173.1,5843,10.215.173.2,53,10704,YouTube,app.revanced.android.youtube,DNS,Closed,i.ytimg.com,57,324,1,1,2025-08-17T20:51:59.967-05:00,2025-08-17T20:51:59.969-05:00,
17,10.215.173.1,41562,10.215.173.2,53,10704,YouTube,app.revanced.android.youtube,DNS,Closed,youtubei.googleapis.com,69,240,1,1,2025-08-17T20:51:59.968-05:00,2025-08-17T20:51:59.969-05:00,
6,10.215.173.1,39196,172.217.16.150,443,10704,YouTube,app.revanced.android.youtube,HTTPS,Closed,i.ytimg.com,1467,6365,13,13,2025-08-17T20:51:59.977-05:00,2025-08-17T20:52:07.088-05:00,
6,10.215.173.1,41174,64.233.170.95,443,10704,YouTube,app.revanced.android.youtube,HTTPS,Closed,youtubei.googleapis.com,1445,6213,10,10,2025-08-17T20:51:59.979-05:00,2025-08-17T20:52:07.088-05:00,
6,10.215.173.1,41182,64.233.170.95,443,10276,YouTube,com.google.android.youtube,HTTPS,Closed,youtubei.googleapis.com,2203,6978,7,6,2025-08-17T20:52:00.169-05:00,2025-08-17T20:52:06.784-05:00,
17,10.215.173.1,8951,10.215.173.2,53,10276,YouTube,com.google.android.youtube,DNS,Closed,i.ytimg.com,57,324,1,1,2025-08-17T20:52:00.313-05:00,2025-08-17T20:52:00.315-05:00,
17,10.215.173.1,39372,172.217.16.150,443,10276,YouTube,com.google.android.youtube,QUIC,Closed,i.ytimg.com,0,0,0,0,2025-08-17T20:52:00.319-05:00,2025-08-17T20:52:04.320-05:00,
6,10.215.173.1,39210,172.217.16.150,443,10276,YouTube,com.google.android.youtube,HTTPS,Closed,i.ytimg.com,2750,7597,15,16,2025-08-17T20:52:00.320-05:00,2025-08-17T20:52:06.790-05:00,
6,10.215.173.1,52374,34.149.100.209,443,10465,Firefox,org.mozilla.firefox,HTTPS,Closed,firefox.settings.services.mozilla.com,1842,17815,15,21,2025-08-17T20:52:02.163-05:00,2025-08-17T20:52:07.470-05:00,
6,10.215.173.1,39872,34.120.208.123,443,10465,Firefox,org.mozilla.firefox,TLS,Closed,incoming.telemetry.mozilla.org,2594,5080,14,12,2025-08-17T20:52:02.170-05:00,2025-08-17T20:52:07.471-05:00,
6,10.215.173.1,54866,172.217.16.142,443,10255,Google Play services,com.google.android.gms,HTTPS,Error,android.apis.google.com,2055,1678,6,6,2025-08-17T20:52:02.208-05:00,2025-08-17T20:52:02.483-05:00,
6,10.215.173.1,35754,34.160.144.191,443,10465,Firefox,org.mozilla.firefox,TLS,Closed,content-signature-2.cdn.mozilla.net,100,88,2,2,2025-08-17T20:52:02.283-05:00,2025-08-17T20:52:02.306-05:00,
6,10.215.173.1,35758,34.160.144.191,443,10465,Firefox,org.mozilla.firefox,TLS,Closed,content-signature-2.cdn.mozilla.net,866,3827,10,10,2025-08-17T20:52:02.298-05:00,2025-08-17T20:52:07.471-05:00,
6,10.215.173.1,39900,74.125.206.157,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Closed,googleads.g.doubleclick.net,3254,8933,11,13,2025-08-17T20:52:02.926-05:00,2025-08-17T20:52:07.206-05:00,
6,10.215.173.1,39906,74.125.206.157,443,10354,All Apps,com.inmobi.folderwall,HTTPS,Closed,googleads.g.doubleclick.net,2175,6844,7,6,2025-08-17T20:52:03.178-05:00,2025-08-17T20:52:07.205-05:00,
17,10.215.173.1,28132,10.215.173.2,53,10256,Google Play Store,com.android.vending,DNS,Closed,beacons.gvt2.com,62,89,1,1,2025-08-17T20:52:19.660-05:00,2025-08-17T20:52:21.239-05:00,
6,10.215.173.1,46002,74.125.206.94,443,10256,Google Play Store,com.android.vending,HTTPS,Error,beacons.gvt2.com,2080,1686,6,6,2025-08-17T20:52:21.250-05:00,2025-08-17T20:52:21.567-05:00,
