IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen,Malicious
6,10.215.173.1,49448,142.251.41.34,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,googleads.g.doubleclick.net,807,1875,6,5,2025-07-28T05:51:25.722-05:00,2025-07-28T05:51:25.874-05:00,
6,10.215.173.1,49460,142.251.41.34,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,googleads.g.doubleclick.net,720,4658,7,7,2025-07-28T05:51:25.729-05:00,2025-07-28T05:51:25.919-05:00,
6,10.215.173.1,47126,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2588,2050,7,6,2025-07-28T05:51:25.858-05:00,2025-07-28T05:51:26.007-05:00,
6,10.215.173.1,47132,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,798,5524,9,9,2025-07-28T05:51:25.867-05:00,2025-07-28T05:51:26.044-05:00,
6,10.215.173.1,47140,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2054,2050,6,6,2025-07-28T05:51:26.006-05:00,2025-07-28T05:51:26.151-05:00,
6,10.215.173.1,47156,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,718,5446,7,7,2025-07-28T05:51:26.010-05:00,2025-07-28T05:51:26.189-05:00,
6,10.215.173.1,47006,142.251.32.74,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,safebrowsing.googleapis.com,2534,2015,7,5,2025-07-28T05:51:29.553-05:00,2025-07-28T05:51:29.728-05:00,
6,10.215.173.1,47018,142.251.32.74,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,safebrowsing.googleapis.com,843,5565,10,10,2025-07-28T05:51:29.566-05:00,2025-07-28T05:51:29.760-05:00,
6,10.215.173.1,47164,142.251.32.78,443,10256,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2022,2010,6,5,2025-07-28T05:51:32.314-05:00,2025-07-28T05:51:32.468-05:00,
6,10.215.173.1,47176,142.251.32.78,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,play-fe.googleapis.com,758,5485,8,8,2025-07-28T05:51:32.322-05:00,2025-07-28T05:51:32.502-05:00,
6,10.215.173.1,41770,142.251.41.34,443,10255,Google Play services,com.google.android.gms,HTTPS,Closed,googleads.g.doubleclick.net,807,1875,6,5,2025-07-28T05:52:32.994-05:00,2025-07-28T05:52:33.138-05:00,
6,10.215.173.1,41772,142.251.41.34,443,10449,PCAPdroid mitm,com.pcapdroid.mitm,HTTPS,Closed,googleads.g.doubleclick.net,760,4698,8,8,2025-07-28T05:52:33.000-05:00,2025-07-28T05:52:33.186-05:00,
17,10.215.173.1,46722,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,firestore.googleapis.com,140,97,2,1,2025-07-28T05:52:52.861-05:00,2025-07-28T05:52:55.922-05:00,
17,10.215.173.1,57649,10.215.173.2,53,10713,LTE Discovery,net.simplyadvanced.ltediscovery,DNS,Closed,clients4.google.com,65,116,1,1,2025-07-28T05:52:53.282-05:00,2025-07-28T05:52:53.381-05:00,
